万国城MOMA,东城-东直门外-香河园路1号,116.444877,39.953992,116084,↓1.86%,768,1140,暂无数据,3.50元/平米/月,220000m²,2248户,2004年,1：1.25,4,30%(一般),当代节能置业股份有限公司,第一物业服务（北京）有限公司,
本家润园A区,东城-东花市-东花市大街,116.4432766407,39.9025911633,120819,↓1.65%,251,95,暂无数据,2.96元/平米/月,410000m²,750户,2005年,750,2.93,40%(高),北京九鼎房地产开发有限责任公司,北京长城物业管理有限公司,
望陶园,东城-永定门-革新南路,116.400605,39.870978,71686,↓1.15%,64,1,暂无数据,1.35元/平米/月,90000m²,400户,1998年,充足,4,34%(一般),北京一商集团有限责任公司房地产开发分公司,北京润豪物业管理有限责任公司,革新里小学,
景泰西里,东城-永定门-安乐林路,116.418233,39.868915,75642,↓2.07%,37,98,普通住宅,暂无数据,暂无数据,暂无数据,2015年,暂无数据,1.8,30%(一般),中冶置业（青岛）有限责任公司,北京新浩物业管理有限责任公司,定安里小学,
金宝街社区,东城-朝阳门内-朝内南小街,116.434381,39.922925,109732,↓2.87%,45,64,暂无数据,0.55元/平米/月,暂无数据,暂无数据,2003年,暂无数据,暂无数据,30%(一般),东城区住宅发展有限公司,暂无数据,
天娇园,东城-东花市-白桥大街10号,116.445935,39.90372,96877,↓5.53%,80,24,暂无数据,2.08元/平米/月,60970m²,256户,2007年,248,3.7,25%(一般),北京天华津政房地产开发有限公司,北京浩之天物业管理有限公司,
天坛东里南区,东城-天坛-天坛东路,116.427261,39.879808,82986,↓3.03%,89,99,暂无数据,暂无数据,320m²,200户,2015年,地上停车位,1.5,30%(一般),北京城建房地产开发有限公司,暂无数据,天坛东里小学,
远洋德邑,东城-东花市-忠实里南街,116.45286,39.900981,100129,↑4.34%,78,59,暂无数据,2.78元/平米/月,100000m²,600户,2002年,290,3,33%(一般),北京方锦基业房地产开发有限公司,北京远洋置业物业管理有限公司,
新世界中心公寓,东城-前门-崇文门外大街3号,116.423983,39.904557,69918,↓5.64%,128,12,暂无数据,13.70元/平米/月,650000m²,3400户,2000年,地上流动车位,4.3,30%(一般),北京崇文新世界房地产发展有限公司,北京祥和物业管理有限公司,
保利蔷薇,东城-广渠门-培新街9号,116.441975,39.896241,122620,↑0.89%,113,87,暂无数据,2.80元/平米/月,74000m²,713户,2006年,500,3.8,26%(一般),保利（北京）房地产开发有限公司,保利物业管理（北京）有限公司,
东花市北里中区,东城-东花市-东花市大街,116.440722,39.905151,95683,↓3.99%,278,163,暂无数据,1.89元/平米/月,120000m²,1500户,1994年,1：1,2,30%(一般),北京天鸿宝业房地产股份有限公司,天鸿物业,
雍和家园,东城-和平里南-安定门东滨河路,116.42604,39.95676,100000,↓3.41%,66,67,暂无数据,3.50元/平米/月,100000m²,1127户,2004年,451,3,48%(高),北京银泰雍和房地产开发有限公司,北京银达物业管理有限责任公司,和平里四小,
瑞士公寓,东城-东直门外-工体北路66号,116.443915,39.938565,110348,↓3.63%,84,293,暂无数据,8.00元/平米/月,40358m²,194户,2007年,246个，1：1.3,4,30%(一般),北京安泰置业房地产开发有限公司,北京锦江北方物业管理有限公司,史家实验学校,
朝阳门小街小区,东城-灯市口-朝阳门小街,116.432439,39.926076,115583,↓0.28%,228,54,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2005年,1
东花市北里东区,东城-东花市-东花市大街,116.442811,39.905627,104388,↑0.04%,66,9,普通住宅,1.10元/平米/月,暂无数据,暂无数据,2002年,120,1.3,26%(一般),北京天鸿宝业房地产股份有限公司,北京天鸿世纪科技发展有限公司,
怡龙别墅,东城-龙潭湖-龙潭东路,116.449489,39.880474,88760,↓0.56%,30,0,暂无数据,6.20元/平米/月,21000m²,153户,1994年,70,暂无数据,48%(高),北京帝苑房地产开发有限公司,帝苑物业,板厂小学,
左安溪园,东城-龙潭湖-左安门内大街19号,116.444783,39.88161,107697,↓3.21%,32,36,暂无数据,2.50元/平米/月,52200m²,400户,2015年,300,3.7,30%(一般),北京崇开嘉信房地产开发有限公司,北京崇开嘉信物业管理有限公司,
湖景苑,东城-安定门-安德里北街甲22号,116.404923,39.961949,98716,↓16.71%,7,6,暂无数据,2.17元/平米/月,40000m²,328户,1999年,100,2.5,30%(一般),北京维佳物业管理有限责任公司,北京维佳物业管理有限公司,
官书院小区,东城-交道口-永康胡同2号,116.417637,39.95297,103781,↓4.90%,35,6,暂无数据,暂无数据,37000m²,252户,2001年,2
青年湖东里,东城-安定门-安德里北街,116.412309,39.962973,100825,↑1.34%,76,69,暂无数据,0.55元/平米/月,126079m²,1820户,2015年,400,2.3,30%(一般),北京市房地产开发经营总公司,东城房地产经营管理中心和平里分中心,
外交部街33号院,东城-东单-外交部街33号,116.427825,39.919483,125205,↑4.49%,91,28,暂无数据,2.30元/平米/月,4000m²,1800户,1988年,150元/月/车位,3,40%(高),外交部,北京茂苑物业管理有限公司,
豆瓣小区西区,东城-朝阳门内-豆瓣胡同,116.437538,39.932658,128683,↑0.04%,106,293,暂无数据,0.98元/平米/月,3000m²,1891户,2004年,停车位
富莱茵花园,东城-永定门-沙子口路,116.413921,39.866543,66082,↓4.72%,23,94,暂无数据,1.29元/平米/月,130000m²,350户,1990年,停车位350个，出租150-300元/月,3.6,40%(高),北京鸿运置业股份有限公司,富莱茵物业管理公司,
凯德华玺,东城-灯市口-朝阳门内大街288号,116.427062,39.930148,67001,↓2.58%,18,28,暂无数据,6.90元/平米/月,67852m²,313户,2008年,地下车位112个；车位比例1：0.8,2.72,30%(一般),凯德置地（中国）投资有限公司,北京达文中澳物业管理有限公司,
绿景馨园,东城-广渠门-夕照寺大街,116.447402,39.896224,113646,↑0.51%,88,20,暂无数据,0.50元/平米/月,136200m²,1008户,2015年,充足,3,40%(高),北京市兴隆置业有限公司,北京瑞来物业管理有限公司,
永铁苑小区,东城-永定门-永定门外大街,116.399175,39.875841,71371,↓0.57%,48,23,暂无数据,0.30元/平米/月,11250000m²,4520户,2002年,560,1.3,30%(一般),新东方房产开发公司,北京海开倚源物业管理有限公司,
花市枣苑,东城-东花市-东花市大街118号,116.43586,39.902273,108542,↓4.07%,176,287,暂无数据,2.48元/平米/月,260000m²,1700户,2001年,每户一位,3,30%(一般),北京城和房地产开发有限责任公司,花市枣苑物业管理有限责任公司,崇文小学,
幸福家园,东城-广渠门-广渠门内大街36号,116.437007,39.89916,118563,↓0.66%,39,118,暂无数据,3.00元/平米/月,360000m²,暂无数据,2001年,530,3,40%(高),暂无数据,北京金宏宇物业服务有限公司,
东城逸墅,东城-东直门外-十字坡街,116.4466169537,39.944794656,109594,↑6.56%,6,29,暂无数据,4.80元/平米/月,17805m²,83户,2009年,117,2,30%(一般),北京安石房地产有限公司,北京安开嘉业物业管理有限公司,西中街小学,
华冠丽景嘉园,东城-东直门内-东直门北小街,116.43313,39.951845,127188,↓2.39%,31,20,暂无数据,2.98元/平米/月,200000m²,600户,2004年,停车位1：1.5,2.5,35%(一般),北京市泰安房地产开发有限公司,北京市东佳业物业管理有限责任公司,
上龙西里社区,东城-安定门-安定门外大街,116.412147,39.958913,101338,↑6.05%,31,71,暂无数据,0.50元/平米/月,34500m²,876户,1996年,150元/车位/月,4,30%(一般),北京城建房地产开发有限公司,北京市东东旭佳业物业管理有限责任公司,
忠实里东区,东城-东花市-忠实里南街,116.452742,39.903174,91246,↑3.84%,25,12,普通住宅,1.80元/平米/月,暂无数据,暂无数据,1989年,448,4,20%(一般),北京国瑞兴业地产有限公司,北京开兴物业辰管理有限公司,文汇小学,
鼓楼东大街小区,东城-交道口-鼓楼东大街,116.403168,39.946916,128934,↑1.74%,61,79,暂无数据,0.55元/平米/月,5000m²,72户,1998年,300元/月,1.1,10%(低),北京市密云县房地产开发总公司,业主自管,
建予园,东城-永定门-管村路12号,116.402833,39.869745,68460,↓3.38%,43,0,暂无数据,1.20元/平米/月,113000m²,12000户,1999年,充足,4.1,35%(一般),北京建予房地产开发有限责任公司,北京鹏昊物业管理有限公司,
天坛西里东区,东城-天坛-永定门东街,116.409201,39.881256,82403,↓4.96%,16,40,暂无数据,暂无数据,4300m²,860户,1980年,地上停车位,2,30%(一般),北京城建房地产开发有限公司,暂无数据,
安外西河沿,东城-安定门-安德路,116.411797,39.957243,102595,↓3.27%,26,61,暂无数据,1.46元/平米/月,5000m²,450户,1995年,150元/车位/月,1.25,30%(一般),北京腾利达房地产开发有限公司,北京天岳恒房屋经营管理有限公司,
天坛东里中区,东城-天坛-天坛东路,116.426073,39.882381,93281,↓0.05%,25,45,暂无数据,0.50元/平米/月,20000m²,2040户,1980年,免费停车位,1.6,30%(一般),北京城建房地产开发有限公司,单位自管物业,天坛东里小学,
雅宝公寓,东城-建国门内-大雅宝胡同8号,116.438999,39.920628,106158,↓4.30%,45,8,暂无数据,6.70元/平米/月,29000m²,129户,2000年,106,暂无数据,30%(一般),北京万信房地产开发有限公司,北京建怡物业管理有限公司,
中景濠庭,东城-安定门-安德路12号,116.405209,39.957185,94103,↑0.24%,9,17,暂无数据,3.50元/平米/月,60000m²,196户,2001年,287,5,30%(一般),北京千禧福临房地产开发有限公司,北京中景濠庭物业管理有限公司。,
板厂南里,东城-广渠门-夕照寺街9号,116.449054,39.890934,105886,↑1.37%,52,23,暂无数据,3.00元/平米/月,60000m²,650户,1980年,地上车位100个,3,15%(低),城市建设,街道办事处（委员会）代管物业,板厂小学,
灯市口西街小区,东城-灯市口-灯市口西街,116.414379,39.924447,112629,↓0.60%,47,54,暂无数据,暂无数据,暂无数据,10000户,1996年,1000,暂无数据,20%(一般),北京市东城区住宅建设开发公司,街道代管物业,
东河沿小区,东城-安定门-安定门东河滨路,116.419361,39.956796,115667,↓0.98%,44,28,普通住宅,2.47元/平米/月,暂无数据,暂无数据,1985年,150,2,32%(一般),北京华堂物业管理有限公司,北京启芳物业管理有限公司,和平里四小,
鼎盛园,东城-永定门-安乐林中街4号,116.415922,39.870974,86232,↓0.69%,5,1,暂无数据,1.80元/平米/月,30000m²,226户,2004年,145,2.2,33%(一般),北京鼎维原房地产开发有限公司,北京鼎盛轩物业管理有限公司,定安里小学,
正义路10号院,东城-王府井-正义路10号,116.411604,39.909541,97372,↑18.38%,1,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,2.35,25%(一般),北京市城市改建综合开发总公司,街道代管物业,
华府景园,东城-安定门-安定门外大街11号,116.412729,39.967181,112002,↑4.34%,10,49,暂无数据,2.40元/平米/月,46000m²,305户,2002年,停车位地下两层共100多个,4.5,30%(一般),北京地力房地产开发有限责任公司,北京天鸿宝地物业管理经营有限公司,
京城仁合,东城-东花市-广渠门北里路,116.449185,39.90308,99940,↓0.85%,21,36,暂无数据,1.80元/平米/月,62300m²,468户,2002年,308个地下车位,4.58,22%(一般),北京市房地产综合开发经营公司,北京首佳物业管理有限公司,文汇小学,
雅安国际公寓,东城-建国门内-金宝街2号,116.440077,39.921205,88794,↓1.72%,50,17,暂无数据,5.80元/平米/月,38451m²,142户,2006年,900元/月,4.02,30%(一般),北京城市开发集团有限责任公司,北京京信怡和物业管理有限公司,
巷上嘉园,东城-安定门-安德路甲10号,116.406521,39.957461,92583,↓3.70%,27,38,公寓,2.80元/平米/月,70000m²,356户,2005年,400多,1.9,30%(一般),北京中房万丰房地产开发有限公司,北京祥洪永佳物业管理有限公司。,
雍和别墅,东城-雍和宫-箭厂胡同22号,116.418333,39.953981,200000,↑20.59%,24,3,暂无数据,5.60元/平米/月,暂无数据,暂无数据,2003年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
京禧阁,东城-东花市-忠实里四巷,116.452166,39.905807,97485,↑2.19%,3,4,暂无数据,4.98元/平米/月,26239m²,220户,2014年,220,3.88,39%(一般),北京国瑞兴业地产股份有限公司,北京国瑞物业管理有限公司,
土儿胡同小区,东城-交道口-土儿胡同,116.418763,39.946442,135998,↓4.59%,24,42,暂无数据,0.30元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,东方康泰房地产开发经营有限责任公司,东方融合物业公司,府学胡同小学香饵校区,
朝内大街190号院,东城-灯市口-朝阳门内大街,116.43003,39.930181,95117,↓1.37%,1,13,暂无数据,暂无数据,暂无数据,暂无数据,1985年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
广渠门内大街6号小区,东城-广渠门-广渠门内大街,116.438758,39.899217,100368,↑8.49%,8,13,暂无数据,暂无数据,暂无数据,暂无数据,1980年,暂无数据,1.7,10%(低),暂无数据,无,
北官厅胡同小区,东城-东直门内-北官厅胡同,116.43248,39.953272,121089,↓0.97%,45,14,暂无数据,1.20元/平米/月,10000m²,3000户,1985年,免费,暂无数据,暂无数据,北京市东城区住宅建设开发公司,自管物业,
西革新里110号院,东城-永定门-革新南路,116.396227,39.872257,72014,↓1.24%,17,2,普通住宅,0.30元/平米/月,暂无数据,暂无数据,1999年,100,1.2,23%(一般),城市建设开发有限公司,房管所代管物业,革新里小学,
香饵胡同小区,东城-交道口-香饵胡同,116.41865,39.945732,124762,↓8.99%,47,100,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1.44,32%(一般),东方康泰房地产开发经营有限责任公司,东方融合物业公司,府学胡同小学香饵校区,
东交民巷13号院,东城-东单-东交民巷13号,116.420016,39.909428,120962,↓0.78%,1,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,街道办事处（委员会）代管,东交民巷小学,
景泰嘉园,东城-永定门-安乐林路10号,116.419012,39.870764,78128,↑5.12%,7,2,暂无数据,1.79元/平米/月,25000m²,176户,2001年,地下车库，每户2位，出租300元/月,2.5,45%(高),北京嘉业住房股份有限公司,北京三原长兴物业管理公司,
新裕家园,东城-崇文门-广渠门内大街,116.430609,39.898955,110755,↑0.83%,65,130,暂无数据,2.80元/平米/月,82389m²,680户,2003年,1：1,2.8,30%(一般),北京新世界房地产开发公司,北京新世界物业管理有限公司,
夕照寺西里,东城-广渠门-夕照寺街,116.445001,39.896217,104953,↓5.11%,29,8,暂无数据,0.50元/平米/月,71000m²,1500户,2015年,充足,2,20%(一般),无开发商,业主自管（街道办）,板厂小学,
胡家园社区东区,东城-东直门外-东直门外小街,116.45132,39.951293,94820,↑0.55%,24,119,暂无数据,暂无数据,45000m²,1214户,2015年,500,2,30%(一般),北京中免房地产开发有限责任公司,无物业,
永康胡同小区,东城-交道口-永康胡同1号,116.417,39.953652,134674,↑1.80%,20,34,暂无数据,0.80元/平米/月,暂无数据,1498户,1984年,充足,暂无数据,暂无数据,北京天石恒房地产开发有限公司,天石恒物业,
八宝坑胡同小区,东城-东直门内-八宝坑胡同,116.432968,39.952877,140813,↑9.90%,12,5,暂无数据,暂无数据,暂无数据,暂无数据,2000年,充足,暂无数据,暂无数据,暂无数据,暂无数据,
十字坡东里,东城-东直门外-新中街,116.446616,39.945618,101764,↑0.59%,71,36,暂无数据,暂无数据,3600m²,600户,2015年,300,2,30%(一般),房管局开发建设有限公司,街道代管物业,西中街小学,
李村东里,东城-永定门-杨桃路,116.421017,39.874189,78386,↓13.50%,3,10,暂无数据,0.60元/平米/月,7500m²,408户,2015年,地上免费停车位,2,20%(一般),北京城建集团有限责任公司,街道办事处（委员会）代管物业,北京一师附小,
南竹杆胡同小区,东城-朝阳门内-南竹杆胡同,116.436539,39.927803,116695,↓0.78%,16,59,暂无数据,0.50元/平米/月,6000m²,暂无数据,2005年,150元/月,0.9,30%(一般),北京城建房地产开发有限公司,暂无数据,
东四十二条21号院,东城-东直门内-东四十二条21号,116.429265,39.941366,121055,↑2.83%,26,25,暂无数据,0.40元/平米/月,2000m²,700户,1987年,150,1.9,25%(一般),北京城建房地产开发有限公司,北京东旭佳业物业管理有限责任公司,
黄寺大街2号院,东城-安定门-黄寺大街2号,116.410157,39.964586,87501,↓0.37%,1,41,暂无数据,0.50元/平米/月,2500m²,264户,1986年,150,2.8,25%(一般),北京恒远基业房地产开发有限公司,单位自管,
同福夹道小区,东城-灯市口-东四南大街,116.423617,39.925429,109982,↑4.58%,20,19,暂无数据,0.50元/平米/月,暂无数据,1500户,1992年,150,2.2,20%(一般),全国妇联机关服务中心,街道代管物业,灯市口小学,
菊儿胡同小区,东城-交道口-菊儿胡同,116.41199,39.945708,130475,↑2.34%,38,150,暂无数据,0.50元/平米/月,18666m²,308户,1991年,没有固定车位,暂无数据,暂无数据,暂无数据,业主自管,黑芝麻胡同小学,
东黄城根北街40号小区,东城-东四-东黄城根北街40号,116.413581,39.931851,119614,↑1.66%,11,11,暂无数据,暂无数据,暂无数据,暂无数据,1988年,暂无数据,2,10%(低),北京市城市改建综合开发总公司,业主自营,府学胡同小学美术馆后街校区,
西革新里108号院,东城-永定门-革新南路,116.398899,39.872041,72043,↑0.59%,4,4,暂无数据,0.90元/平米/月,1420m²,288户,1999年,35,2,23%(一般),北京城市开发集团有限责任公司,北京市安泰祥物业管理有限公司,革新里小学,
新永外小区,东城-永定门-革新南路,116.405407,39.871381,82841,↑7.56%,4,0,暂无数据,2.10元/平米/月,5400m²,502户,2006年,150元/月,1.8,35%(一般),北京城市开发责任有限公司,暂无数据,
后圆恩寺胡同小区,东城-交道口-后圆恩寺胡同,116.412362,39.944624,109535,↓6.27%,2,0,暂无数据,1.80元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,黑芝麻胡同小学,
安定门东大街甲2号小区,东城-东直门内-安定门东大街,116.43386,39.955094,146641,↓1.75%,11,11,暂无数据,暂无数据,暂无数据,暂无数据,1995年,暂无数据,3.2,25%(一般),暂无数据,暂无数据,景山学校北校区,
北官厅二号院,东城-东直门内-东直门北小街,116.434334,39.954018,107825,↓8.74%,8,9,暂无数据,0.10元/平米/月,10000m²,3000户,1985年,免费,2.2,30%(一般),北京市东城区房屋建设开发公司,自管物业,景山学校北校区,
东羊管胡同小区,东城-东直门内-东羊管胡同,116.438028,39.948524,105230,↑9.60%,1,4,暂无数据,3.00元/平米/月,暂无数据,暂无数据,2002年,暂无数据,暂无数据,35%(一般),北京东方置地房地产开发有限公司,北京市燕厦物业管理服务中心,景山学校北校区,
东直门外小街10号院,东城-东直门外-东直门外小街10号,116.451655,39.949276,79197,——,7,1,暂无数据,0.50元/平米/月,暂无数据,200户,2003年,车位充足,2.1,30%(一般),北京市东城区住宅建设开发公司,街道办事处（委员会）代管物业,
戏楼胡同小区,东城-雍和宫-戏楼胡同,116.424155,39.951808,131708,↑8.86%,20,16,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,20%(一般),暂无数据,首华物业管理有限公司,
炮局胡同小区,东城-雍和宫-炮局胡同,116.428322,39.95184,163230,↑18.68%,11,4,暂无数据,0.40元/平米/月,暂无数据,暂无数据,2002年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
车辇店胡同小区,东城-交道口-车辇店胡同,116.4101943078,39.9517298033,106871,↓3.02%,4,15,暂无数据,2.50元/平米/月,30000m²,200户,2000年,100,1,30%(一般),北京京湘房地产开发有限责任公司,北京佳美物业管理有限公司,分司厅小学,
安馨园,东城-交道口-花园东巷29号,116.411164,39.95257,103810,↓4.64%,9,4,暂无数据,2.70元/平米/月,20000m²,125户,2002年,充足,2.17,35%(一般),北京市公交房地产开发公司,北京金银建物业有限公司,
安化北里,东城-广渠门-广渠门内大街,116.442326,39.898601,100630,↓6.23%,23,22,暂无数据,2.00元/平米/月,96000m²,400户,2001年,地上,2.9,30%(一般),无,无,培新小学,
交林小区,东城-和平里南-和平里东街,116.434323,39.96423,125392,↓2.81%,10,13,暂无数据,0.60元/平米/月,1600m²,300户,1987年,180,2.3,20%(一般),北京京南住房开发有限责任公司,北京首华物业管理有限公司,和平里四小,
小羊宜宾胡同小区,东城-建国门内-小羊宜宾胡同,116.437653,39.918578,110751,↓2.01%,9,70,暂无数据,0.80元/平米/月,130000m²,384户,1990年,充足,暂无数据,30%(一般),暂无数据,业主自管,
山老胡同小区,东城-东四-山老胡同,116.417759,39.938782,142700,↑15.58%,2,0,暂无数据,暂无数据,暂无数据,暂无数据,1998年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,府学胡同小学香饵校区,
苏州胡同小区,东城-东单-苏州胡同,116.426515,39.91213,122268,↑9.40%,17,63,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2001年,充足,2,35%(一般),暂无数据,暂无数据,东交民巷小学,
青龙胡同小区,东城-雍和宫-青龙胡同,116.428606,39.954496,114059,↓0.26%,14,1,暂无数据,0.50元/平米/月,2000m²,700户,1993年,150,暂无数据,暂无数据,北京城建房地产开发有限公司,业主自管,
罗车胡同小区,东城-东直门内-罗车胡同,116.428846,39.944652,124048,↑0.63%,9,12,暂无数据,暂无数据,暂无数据,暂无数据,2000年,充足,1.87,30%(一般),暂无数据,暂无数据,
育树胡同小区,东城-雍和宫-育树胡同,116.43061,39.954103,109511,↑2.98%,15,0,暂无数据,暂无数据,暂无数据,48户,1988年,暂无数据,1.1,30%(一般),暂无数据,暂无数据,
国旺胡同小区,东城-交道口-国旺胡同,116.403708,39.953163,116666,↓14.84%,7,1,暂无数据,暂无数据,暂无数据,暂无数据,2001年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,分司厅小学,
连丰胡同小区,东城-东四-连丰胡同,116.421998,39.932512,140116,↑0.65%,6,2,暂无数据,1.50元/平米/月,18000m²,1200户,2003年,1200,暂无数据,暂无数据,连丰开发商,成丰物业,府学胡同小学香饵校区,
北下洼子胡同小区,东城-交道口-北下洼子胡同,116.411008,39.950032,153846,↑26.87%,9,5,暂无数据,0.60元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,1.2,暂无数据,暂无数据,暂无数据,分司厅小学,
灵光东巷小区,东城-交道口-灵光东巷,116.413092,39.954246,108933,↓7.06%,3,3,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,分司厅小学,
庆平胡同小区,东城-东单-庆平胡同,116.428203,39.910329,123750,↓8.04%,7,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,充足,1.53,22%(一般),暂无数据,暂无数据,东交民巷小学,
三眼井胡同小区,东城-王府井-三眼井胡同,116.407895,39.934367,121142,↓5.17%,34,12,暂无数据,1.50元/平米/月,8000m²,200户,2002年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,灯市口小学,
贡院六号小区,东城-建国门内-贡院西街6号,116.437888,39.916795,125530,↓6.99%,19,24,暂无数据,12.40元/平米/月,8793257m²,600户,2001年,260个,暂无数据,30%(一般),北京绿都源房地产开发有限公司,北京东方绿都物业管理有限公司,
安圣苑,东城-安定门-安定路20号,116.41486,39.9798,72271,↓3.16%,99,10,暂无数据,2.00元/平米/月,80000m²,236户,2000年,300,4,22%(一般),北京全联房地产开发有限公司,北京宸居物业管理有限责任公司,
史家胡同小区,东城-灯市口-史家胡同,116.427094,39.924388,134908,↓3.90%,131,13,暂无数据,0.50元/平米/月,21000m²,暂无数据,2003年,充足,2.2,35%(一般),北京住总房地产开发有限责任公司,暂无数据,史家胡同小学,
府学胡同小区,东城-交道口-府学胡同,116.420948,39.942284,134363,↑0.24%,232,25,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2011年,充足,暂无数据,30%(一般),暂无数据,业主自管,府学胡同小学香饵校区,
兴隆都市馨园,东城-前门-东兴隆街58号,116.420285,39.901724,112886,↓3.44%,178,151,暂无数据,0.53元/平米/月,300000m²,2011户,2003年,650,2,30%(一般),北京市兴隆置业有限公司,北京馨康景物业管理有限责任公司,前门小学,
