塞纳维拉永定华庭,海淀-玉泉路东-永定路22号,116.271858,39.927536,103736,↓0.77%,217,64,暂无数据,2.90元/平米/月,30571m²,270户,2012年,139,2.28,30%(一般),北京奥尼斯特房地产开发有限公司,北京天恒瑞海物业管理有限责任公司,
欧洲公馆,海淀-玉泉路东-玉泉路,116.263173,39.923326,105673,↓0.09%,33,4,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,1.63,30%(一般),北京阳光鑫地置业有限公司,北京达尔文国际酒店物业管理有限公司,
永定路30号院,海淀-玉泉路东-永定路30号,116.271677,39.925858,70768,↓1.69%,16,3,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,业主自管,
玉泉路16号院,海淀-玉泉路东-玉泉路16号,116.262859,39.919941,73432,↑1.41%,52,56,暂无数据,0.50元/平米/月,暂无数据,2800户,1990年,422,2.2,30%(一般),辉腾房地产开发有限公司,业主自管,
复兴路40号院,海淀-玉泉路东-复兴路40号,116.263908,39.911837,105095,↓2.52%,95,51,暂无数据,0.50元/平米/月,1500000m²,300户,1990年,30,1.25,25%(一般),中国铁建房地产集团有限公司,业主自营,
永定路85号院,海淀-玉泉路东-永定路85号,116.268846,39.915123,71327,↓3.06%,32,29,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1960年,暂无数据,2.2,30%(一般),暂无数据,单位自管,
金沟河路2号院,海淀-玉泉路东-金沟河路2号,116.279404,39.922101,77091,↓8.24%,13,54,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1980年,暂无数据,1,30%(一般),暂无数据,业主自管,图强二小,
太平路44号院,海淀-玉泉路东-太平路44号,116.273484,39.904043,100833,↓1.45%,30,8,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2009年,充足,暂无数据,30%(一般),北京市燕山石化开发有限公司,北京新兴兴业物业管理有限公司,五一小学,
塞纳维拉永定翠庭,海淀-玉泉路东-北太平路,116.27377,39.909889,47325,↑24.54%,1,0,公寓,2.98元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,2.33,30%(一般),北京谊建信置业有限公司,北京天恒瑞海物业管理有限公司,
五棵松六建大院,海淀-玉泉路东-五棵松路,116.276936,39.91255,94702,↓5.97%,113,15,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,暂无数据,北京六建集团物业管理公司,
玉海园三里,海淀-玉泉路东-田村路,116.262653,39.92529,78498,↓0.32%,132,46,暂无数据,0.93元/平米/月,暂无数据,暂无数据,1998年,暂无数据,暂无数据,24%(一般),北京海开房地产股份有限公司,北京海淀区志新物业管理公司,中科院附属玉泉小学,
北太平路18号院,海淀-玉泉路东-北太平路18号,116.265008,39.909416,122142,↑12.17%,2,1,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,38%(一般),暂无数据,业主自营,
嘉德公寓,海淀-玉泉路东-复兴路38号,116.26781,39.913038,69124,↓0.77%,38,2,暂无数据,2.60元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2.5,30%(一般),北京嘉德房地产开发公司,北京嘉瑞物业管理有限公司,图强二小,
复兴路81号院,海淀-玉泉路东-复兴路81号,116.27436,39.914321,76374,↑2.14%,6,8,暂无数据,1.00元/平米/月,80000m²,1600户,1988年,自由车位,2,12%(低),北京城建房地产开发有限公司,北京城建银地物业管理有限责任公司,图强二小,
玉泉路15号院,海淀-玉泉路东-玉泉路15号,116.257006,39.922927,76749,↑1.92%,10,29,暂无数据,0.60元/平米/月,250000m²,625户,1986年,1：1,1.4,25%(一般),中国航天建设集团有限公司,业主自管,中科院附属玉泉小学,
太平路33号院,海淀-玉泉路东-太平路33号,116.26467,39.90672,106323,↑0.02%,23,1,暂无数据,0.60元/平米/月,36000m²,570户,1985年,2：1,3.2,16%(低),北京华瑞兴业房地产开发有限公司,太平桥物业公司,
复兴路34号院,海淀-玉泉路东-复兴路34号,116.276081,39.912661,111020,↑5.84%,24,1,暂无数据,2.60元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1.25,30%(一般),北京城建房地产开发有限公司,业主自管,五一小学,
影视之家,海淀-玉泉路东-西四环中路,116.279547,39.916854,59259,↓4.73%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,1997年,暂无数据,暂无数据,暂无数据,暂无数据,北京中广物业管理有限公司,
永定路甲88号院,海淀-玉泉路东-永定路甲88号,116.272039,39.910321,40588,↓2.85%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,暂无数据,北京瑞欧物业管理有限公司,
永金里,海淀-玉泉路东-五棵松路81号,116.278427,39.926784,64814,——,0,1,公寓,2.10元/平米/月,暂无数据,暂无数据,1999年,暂无数据,暂无数据,30%(一般),北京京创房地产开发有限公司,北京宸居物业管理有限公司,
玉泉路68号院,海淀-玉泉路东-玉泉路68号,116.265754,39.903992,84000,↓0.36%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,2,30%(一般),暂无数据,暂无数据,
航天二院小区,海淀-玉泉路东-永定路,116.273597,39.920276,78101,——,0,0,暂无数据,1.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京城建二建设工程有限公司,北京城建物业管理有限公司,
水岸芳园,海淀-玉泉路东-永定河路,116.277575,39.928709,20365,——,0,0,暂无数据,0.30元/平米/月,暂无数据,暂无数据,2001年,暂无数据,暂无数据,41%(高),北京全联房地产开发有限公司,暂无数据,
总政金沟河干休所社区,海淀-玉泉路东-金沟河路1号,116.278864,39.924217,72000,——,0,0,暂无数据,0.40元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
永定路98号院,海淀-玉泉路东-永定路98号,116.271584,39.909314,92449,↓3.88%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,业主自管,
永定路57号院,海淀-玉泉路东-永定路57号,116.267917,39.917775,65000,——,2,0,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
复兴路36号院,海淀-玉泉路东-复兴路36号,116.272923,39.91311,98922,↑0.02%,43,4,暂无数据,0.50元/平米/月,1500m²,320户,2001年,30,1.9,10%(低),北京城建集团有限责任公司,业主自营,五一小学,
复兴路77号院,海淀-玉泉路东-复兴路77号,116.277918,39.914306,74285,↑0.52%,6,1,暂无数据,1.00元/平米/月,3000m²,300户,1998年,150,2,30%(一般),中房京贸房地产开发有限公司,北京地铁物业管理有限责任公司,图强二小,
金沟河路5号院,海淀-玉泉路东-金沟河路5号,116.273919,39.924805,77744,↑6.00%,28,26,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1990年,暂无数据,暂无数据,20%(一般),北京城建房地产开发有限公司,业主自管,
西四环中路41号院,海淀-玉泉路东-西四环中路41号,116.279153,39.919805,73264,↓9.62%,10,3,暂无数据,0.55元/平米/月,暂无数据,暂无数据,1998年,暂无数据,1.5,30%(一般),北京城建集团有限责任公司,北京城建弘通物业管理有限公司,
西四环中路47号院,海淀-玉泉路东-西四环中路47号,116.279415,39.916931,98312,↑1.15%,1,2,暂无数据,2.50元/平米/月,暂无数据,暂无数据,1998年,暂无数据,暂无数据,暂无数据,暂无数据,北京中广物业管理有限公司,
永定路东街5号院,海淀-玉泉路东-永定路东街5号,116.272528,39.911454,96833,——,23,0,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1980年,暂无数据,暂无数据,35%(一般),北京城建集团,业主自管,五一小学,
永金里住宅小区,海淀-玉泉路东-田村路,116.278025,39.92691,68360,↑1.21%,14,45,暂无数据,0.60元/平米/月,暂无数据,暂无数据,1990年,暂无数据,暂无数据,33%(一般),北京市市政工程总公司,北京市增光物业管理有限责任公司,
玉海园,海淀-玉泉路东-玉泉路,116.260306,39.925762,79096,——,0,6,公寓,0.93元/平米/月,50000m²,1400户,2001年,500,1.25,30%(一般),北京海开房地产股份有限公司,北京市海淀区久筑物业管理中心,
泽丰苑,海淀-玉泉路东-永定路,116.267302,39.927116,90373,↑0.42%,0,0,公寓,2.20元/平米/月,84000m²,1100户,2002年,300,2.2,28%(一般),北京泽丰房地产开发有限公司,北京佳邦物业管理有限公司,
金沟河2号院,海淀-玉泉路东-金沟河路,116.279966,39.923613,70175,——,0,2,公寓,0.98元/平米/月,1000m²,180户,1980年,150元/车位/月,1,30%(一般),城建一公司建设发展有限公司,暂无数据,图强二小,
五一教工楼,海淀-玉泉路东-永定路,116.269976,39.907879,121690,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
金钩河12号院,海淀-玉泉路东-金沟河路,116.265851,39.921653,73628,↑0.34%,0,1,公寓,1.40元/平米/月,68000m²,786户,1988年,充足,暂无数据,15%(低),航天二院,二院物业,
太平路38号院,海淀-玉泉路东-太平路38号,116.2767,39.905967,72023,↓1.07%,0,4,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1990年,暂无数据,1.5,35%(一般),暂无数据,业主自管,五一小学,
西四环中路7号院,海淀-玉泉路东-西四环中路7号,116.280599,39.926042,61796,——,0,0,暂无数据,0.50元/平米/月,50000m²,1000户,1978年,1/1,2.5,20%(一般),五棵松六建,街道办事处【代理物业】,
太平路46号院,海淀-玉泉路东-太平路46号,116.267143,39.905378,68238,↑2.11%,0,4,暂无数据,暂无数据,暂无数据,暂无数据,1990年,暂无数据,1.57,30%(一般),暂无数据,业主自管,
太平路27号院,海淀-玉泉路东-太平路27号,116.273549,39.907537,90771,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,五一小学,
太平路50号院,海淀-玉泉路东-太平路50号,116.262517,39.905239,66619,↓1.01%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,1996年,暂无数据,暂无数据,30%(一般),北京华瑞兴业房地产开发有限公司,业主自管,
计委宿舍,海淀-玉泉路东-阜成路北三街7号,116.27263,39.913318,85889,↓22.01%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
北太平路3号院,海淀-玉泉路东-北太平路3号,116.274721,39.910745,119896,↑5.18%,0,6,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1985年,暂无数据,1.8,36%(一般),北京华瑞兴业房地产开发有限公司,北京新兴兴业物业管理有限公司,五一小学,
北太平路17号院,海淀-玉泉路东-北太平路17号,116.268184,39.911644,107285,↓1.84%,0,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),无,无,
金沟河路10号院,海淀-玉泉路东-金沟河路10号,116.268355,39.92342,65573,↓0.64%,0,1,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2,20%(一般),无,业主自营,
金沟河路15号院,海淀-玉泉路东-金沟河路15号,116.270137,39.924247,75904,↓3.06%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,1990年,暂无数据,1.5,20%(一般),北京城建房地产开发有限公司,业主自营,
测绘院小区,海淀-玉泉路东-羊坊店西路,116.269245,39.909493,81395,↓1.97%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
阳光星期八,海淀-玉泉路东-玉泉路,116.26136,39.922153,81404,↓0.48%,0,0,暂无数据,2.90元/平米/月,暂无数据,暂无数据,2011年,暂无数据,3,30%(一般),北京阳光鑫地置业有限公司,北京达尔文国际酒店物业管理有限公司,
印象牛津花园,海淀-玉泉路东-百沙路,116.271783,39.911441,14285,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2016年,暂无数据,暂无数据,暂无数据,鹏渤房地产开发有限公司,鹏润物业管理有限公司,
复兴路83号院,海淀-玉泉路东-复兴路83号,116.26027,39.915588,66404,↓0.59%,0,4,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),无,业主自营,中科院附属玉泉小学,
泽丰苑南区,海淀-玉泉路东-采石路8号,116.267347,39.925803,94408,↓0.85%,15,2,暂无数据,2.28元/平米/月,暂无数据,暂无数据,2002年,暂无数据,2.2,28%(一般),北京泽丰房地产开发有限公司,北京佳邦物业管理有限公司,
永定路19号院,海淀-玉泉路东-永定路19号,116.269129,39.926943,82631,↑15.53%,1,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
永定路15号院,海淀-玉泉路东-永定路15号,116.273041,39.911946,95019,——,6,1,公寓,0.50元/平米/月,暂无数据,暂无数据,1972年,暂无数据,暂无数据,暂无数据,北京六建集团有限责任公司,北京六建集团有限责任公司物业管理分公司,
太平路34号院,海淀-玉泉路东-太平路34号,116.279407,39.905941,72036,↓9.93%,8,8,暂无数据,2.00元/平米/月,4000m²,164户,2015年,20,1.2,30%(一般),铁道部,北京住总北宇物业服务公司,
太平路42号院,海淀-玉泉路东-太平路42号,116.274435,39.906007,101033,↓1.03%,48,0,暂无数据,暂无数据,28600m²,5000户,2009年,充足,2,30%(一般),北京市燕山石化开发有限公司,北京燕山石油化工有限公司物业管理分公司,五一小学,
金沟河路1号院,海淀-玉泉路东-金沟河路1号,116.278695,39.92442,76595,↓5.28%,2,5,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1990年,暂无数据,1.5,20%(一般),北京城建房地产开发有限公司,业主自管,
永定路127号院,海淀-玉泉路东-永定路127号,116.270412,39.908048,80526,↑1.43%,5,3,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,五一小学,
泽丰苑北区,海淀-玉泉路东-采石路6号,116.267289,39.927608,89862,↓4.13%,29,12,暂无数据,2.28元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.2,28%(一般),北京泽丰房地产开发有限公司,北京佳邦物业管理有限公司,
太平路40号院,海淀-玉泉路东-太平路40号,116.274959,39.906051,102442,↓8.38%,2,1,暂无数据,1.50元/平米/月,500m²,240户,1982年,充足,3.1,30%(一般),北京市燕山石化开发有限公司,业主自管,五一小学,
金沟河路12号院,海淀-玉泉路东-金沟河路12号,116.265244,39.923449,60608,↓23.77%,4,6,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,25%(一般),北京航天海鹰房地产开发公司,业主自营,中科院附属玉泉小学,
金沟河路3号院,海淀-玉泉路东-金沟河路3号,116.276453,39.924967,84209,↑5.62%,17,11,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1989年,暂无数据,2,30%(一般),北京城建一建设发展有限公司,北京城建鑫诚物业管理有限公司,
玉海园五里,海淀-玉泉路东-玉泉路8号,116.264886,39.927528,84696,↑4.58%,183,67,暂无数据,0.93元/平米/月,暂无数据,暂无数据,1996年,暂无数据,暂无数据,30%(一般),北京海开房地产股份有限公司,久筑物业管理有限公司,中科院附属玉泉小学,
