西山国际城,海淀-田村-阜石路甲69号,116.236047,39.932998,66925,↑0.43%,330,440,公寓,4.20元/平米/月,170040m²,1338户,2011年,1468,1.38,33%(一般),北京锦绣大地房地产开发有限公司,北京昌泽物业管理有限公司,首师大附小,
半壁店六建宿舍,海淀-田村-玉泉路,116.260329,39.935193,71307,——,0,12,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,1,58%(高),北京六建集团有限责任公司,街道办事处代收,
田村路48号院,海淀-田村-田村路48号,116.263069,39.935274,83333,↑12.70%,0,0,暂无数据,0.70元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),暂无数据,业主自管,
田村山南路20号院,海淀-田村-田村山南路20号,116.24096,39.924989,94325,——,0,5,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,3,35%(一般),暂无数据,暂无数据,
五路居137号院,海淀-田村-西四环北路137号,116.278639,39.93924,71000,——,0,0,暂无数据,0.30元/平米/月,暂无数据,暂无数据,1990年,暂无数据,2.1,30%(一般),暂无数据,北京海房物业管理有限公司,
幸福时光小区,海淀-田村-半壁店二街,116.268177,39.938177,75833,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
阜石路11号院,海淀-田村-阜石路11号,116.271915,39.932285,64857,↓2.18%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2009年,暂无数据,1.3,30%(一般),北京天平地产开发经营有限公司,无,
阜石路15号院,海淀-田村-阜石路15号,116.267627,39.931184,85261,↓1.77%,0,0,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2002年,暂无数据,暂无数据,30%(一般),北京天台山房地产开发有限公司,首华物业,中科院附属玉泉小学,
阜石路93号院,海淀-田村-阜石路93号,116.224611,39.93557,87047,↓1.42%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
玉泉嘉园,海淀-田村-田村山南路8号,116.250291,39.925962,66666,↑97.65%,0,17,暂无数据,0.30元/平米/月,暂无数据,暂无数据,2001年,暂无数据,2.2,30%(一般),北京海开房地产股份有限公司,深华物业集团有限公司,
什坊院甲3号院,海淀-田村-田村路,116.238903,39.935954,71642,↓1.59%,0,5,暂无数据,暂无数据,暂无数据,暂无数据,1995年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
总参通讯部第二干休所,海淀-田村-田村山南路,116.250104,39.928243,66238,↓1.58%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
中昊家园,海淀-田村-阜石路甲19号,116.264934,39.932695,57142,——,0,9,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
畅茜园雪芳里,海淀-田村-田村路,116.253658,39.93474,75528,↓1.13%,18,13,暂无数据,2.70元/平米/月,暂无数据,暂无数据,2005年,暂无数据,暂无数据,30%(一般),北京市龙鼎华源房地产开发有限责任公司,北京大苑天地物业管理有限公司,
五孔桥六建宿舍,海淀-田村-田村路,116.276257,39.936303,74137,↓5.70%,6,19,暂无数据,2.80元/平米/月,1000m²,260户,1987年,20,1.9,20%(一般),暂无数据,暂无数据,
田村39号院,海淀-田村-田村路39号,116.268285,39.935839,82225,↑12.22%,9,14,暂无数据,暂无数据,510000m²,158户,2000年,82,1.8,20%(一般),首开,单位自管,
王致和宿舍,海淀-田村-阜石路,近田村东路,116.253288,39.934254,77020,↑0.37%,41,15,公寓,暂无数据,暂无数据,暂无数据,2000年,暂无数据,1,25%(一般),暂无数据,业主自管,
金隅山墅(别墅),海淀-田村-阜石路,116.244742,39.929112,102432,↑27.94%,16,3,暂无数据,暂无数据,暂无数据,暂无数据,2012年,暂无数据,0.8,30%(一般),北京金隅嘉业房地产开发有限公司,暂无数据,
西四环北路137号院,海淀-田村-西四环北路137号,116.278586,39.938867,120354,↑23.43%,6,86,暂无数据,2.80元/平米/月,800m²,320户,2000年,150元/车位/月,3,33%(一般),西木单位,业主自管,
田村33号院,海淀-田村-田村路33号,116.269797,39.935874,78875,↑11.54%,2,18,暂无数据,暂无数据,暂无数据,暂无数据,1999年,暂无数据,暂无数据,32%(一般),暂无数据,业主自管,
永定路1号院,海淀-田村-永定路1号,116.269975,39.931229,74475,↓1.30%,34,25,暂无数据,3.00元/平米/月,暂无数据,暂无数据,2015年,暂无数据,1.2,30%(一般),北京大成开发集团有限公司,业主自管,中科院附属玉泉小学,
