碧海方舟,朝阳-亚运村-鼎成路6号,116.446305,40.002488,127960,↑3.73%,364,19,暂无数据,10.00元/平米/月,77000m²,104户,2003年,258,0.6,43%(高),北京姜庄湖园林别墅开发有限公司,北京世邦魏理仕物业公司,
干杨树甲16号院,朝阳-亚运村-北四环东路,116.426234,39.996408,96466,↓0.44%,45,79,暂无数据,2.30元/平米/月,200000m²,1200户,2001年,800,3,35%(一般),
润枫德尚国际公寓,朝阳-亚运村-安立路60号,116.416258,40.011458,82334,↓1.65%,192,98,暂无数据,3.20元/平米/月,12m²,548户,2004年,498,5.68,35%(一般),北京润丰房地产开发有限公司,北京润丰物业管理有限公司,
华悦国际公寓,朝阳-亚运村-大屯北路,116.419748,40.013296,93272,↓2.92%,53,97,暂无数据,4.20元/平米/月,69030m²,296户,2006年,地上60个地下271个,3.2,31%(一般),北京鸿安伟业房地产开发有限公司,恒鸿基（北京）物业管理有限公司,
安慧北里雅园,朝阳-亚运村-安慧北里小区路,116.417624,40.004219,80141,↑6.48%,36,61,暂无数据,0.50元/平米/月,100000m²,1200户,1999年,1000,2.1,30%(一般),北京安苑住房股份有限公司,北京市燕厦物业管理有限公司,陈经纶中学嘉铭分校西校区小学部,
锦绣馨园,朝阳-亚运村-小营北路,116.429726,40.004246,74691,↓2.65%,73,113,暂无数据,1.70元/平米/月,70000m²,1600户,2000年,停车位400个，出租150元/月,2.8,30%(一般),北京凯迪克房地产有限责任公司,北京中郎物业管理有限公司,陈经纶中学嘉铭分校西校区小学部,
富成花园,朝阳-亚运村-北四环东路89号,116.446005,39.997322,149927,↓2.33%,84,5,暂无数据,7.50元/平米/月,27458m²,110户,1998年,220,暂无数据,80%(高),北京鸿达房地产有限公司,首欣物业管理,
汇欣公寓,朝阳-亚运村-惠忠路,116.411589,39.999926,59606,↑8.59%,50,54,暂无数据,4.00元/平米/月,90000m²,10000户,2000年,1000,2,30%(一般),北京北辰房地产开发股份有限公司,北京北辰信和物业管理有限责任公司,
盛和家园,朝阳-亚运村-安慧东里2号,116.427811,39.999161,64879,↓3.38%,57,92,暂无数据,2.46元/平米/月,50000m²,415户,2002年,400,4.8,32%(一般),北京盛和发房地产开发有限公司,北京盛东方物业管理有限公司,中国音乐学院附属北京实验学校,
保利香槟花园,朝阳-亚运村-小营路6号,116.432259,40.001944,105103,↓1.87%,82,69,暂无数据,3.28元/平米/月,51069m²,3000户,2007年,205,3.2,36%(一般),保利（北京）房地产开发有限公司,北京保利信物业管理公司,芳草地国际学校世纪小学,
阳光新干线,朝阳-亚运村-慧中北路,116.422729,40.006127,84659,↑0.51%,51,51,暂无数据,2.49元/平米/月,110000m²,606户,2003年,820,2.7,35%(一般),北京建工集团有限责任公司,北京建工物业服务有限公司,
风格派,朝阳-亚运村-小营北路,116.427849,40.002395,84615,↑7.17%,15,77,暂无数据,2.98元/平米/月,20559m²,468户,2007年,468,3.5,35%(一般),北京太合龙脉房地产开发有限责任公司,北京世联理仕物业管理有限公司,
亚运花园,朝阳-亚运村-小营北路,116.43237,40.000193,60697,↓1.54%,45,64,暂无数据,2.79元/平米/月,30000m²,876户,1996年,600,暂无数据,38%(一般),北京亚运花园房地产开发有限公司,北京世纪祥和物业管理有限公司,芳草地国际学校世纪小学,
康斯丹郡,朝阳-亚运村-北苑路78号,116.425783,40.021969,75008,↓0.36%,115,42,暂无数据,4.30元/平米/月,78921m²,暂无数据,2004年,地下365个,地上16个,2.2,35%(一般),北京和祥恒房地产开发有限公司,国贸物业酒店管理有限公司,
鸿华高尔夫家园,朝阳-亚运村-北苑路甲108号,116.431695,40.022518,67781,↑4.30%,28,3,暂无数据,2.58元/平米/月,70000m²,298户,2005年,1：1,0.8,30%(一般),北京东方鸿铭房地产开发有限公司,北京鸿华兴业物业管理有限公司,
新都市计划,朝阳-亚运村-北四环东路,116.429817,39.995827,51681,↓4.63%,9,10,暂无数据,2.20元/平米/月,100000m²,350户,2001年,350,4.5,50%(高),北京市天运房地产综合开发经营公司,北京中兴管理有限公司,
安慧北里安园,朝阳-亚运村-大屯路,116.418499,40.007757,76840,↑5.12%,115,122,暂无数据,5.50元/平米/月,60000m²,1086户,1993年,600,2.2,25%(一般),北京安苑住房股份有限公司,北京建工物业管理有限公司,陈经纶中学嘉铭分校西校区小学部,
安慧里四区,朝阳-亚运村-北四环东路,116.4205,39.997061,80003,↑1.67%,66,58,暂无数据,2.50元/平米/月,40000m²,1400户,2015年,地上50个,3,55%(高),北辰房地产开发股份有限公司,北京北辰信诚物业管理有限责任,中国音乐学院附属北京实验学校,
安慧里二区,朝阳-亚运村-慧忠路,116.415181,39.999009,79056,↑0.18%,220,188,暂无数据,1.30元/平米/月,60000m²,4000户,1996年,150,2,30%(一般),北辰房地产开发股份有限公司,北京北辰信诚物业管理有限责任公司,中国音乐学院附属北京实验学校,
安慧北里秀园,朝阳-亚运村-慧忠北路,116.421166,40.003697,76800,↓0.62%,130,148,暂无数据,2.20元/平米/月,80000m²,900户,1999年,700,3.2,30%(一般),北京安苑住房股份有限公司,北京建工物业服务有限公司,陈经纶中学嘉铭分校西校区小学部,
育慧西里,朝阳-亚运村-小营路,116.429498,40.002459,75407,↑2.38%,35,38,暂无数据,1.10元/平米/月,300000m²,2500户,1995年,900,1.37,60%(高),华汇房地产开发有限公司,北京市吉润物业管理有限公司,陈经纶中学嘉铭分校西校区小学部,
荣尊堡国际俱乐部公寓,朝阳-亚运村-科荟路8号,116.419795,40.01477,77978,↓3.04%,399,274,暂无数据,暂无数据,暂无数据,暂无数据,2004年,暂无数据,4.6,35%(一般),北京新荣家园房地产开发有限公司,百年城堡（北京）国际物业管理有限公司,
八斗,朝阳-亚运村-大屯路222号,116.426404,40.00749,88047,↑0.58%,9,21,暂无数据,4.25元/平米/月,暂无数据,暂无数据,2016年,暂无数据,3.5,30%(一般),北京江南绿城房地产开发有限公司,北京发条物业管理有限公司,
亚运新新家园,朝阳-亚运村-辛店路1号,116.44112,40.017446,117920,↑6.97%,268,226,别墅,2.50元/平米/月,暂无数据,暂无数据,2014年,暂无数据,暂无数据,67%(高),北京京伯房地产开发有限公司,北京万通鼎安国际物业服务有限公司,陈经纶中学分校小学部,
亚运豪庭,朝阳-亚运村-小营路9号,116.429224,40.000579,67902,↑3.00%,36,82,暂无数据,1.80元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,北京斯贝兰房地产开发公司,北京亚运豪庭物业公司,
嘉铭桐城E区,朝阳-亚运村-北苑路,116.433952,40.007485,98937,↑1.82%,23,43,暂无数据,2.40元/平米/月,暂无数据,暂无数据,2006年,暂无数据,2.3,30%(一般),北京嘉铭房地产开发有限责任公司,北京盛世物业管理有限公司,陈经纶中学嘉铭分校东校区小学部,
嘉铭桐城D区,朝阳-亚运村-北苑路,116.432431,40.008628,102755,↑0.86%,27,64,暂无数据,1.30元/平米/月,暂无数据,暂无数据,2005年,暂无数据,2.3,40%(高),北京嘉铭房地产开发有限责任公司,北京盛世物业服务有限公司,陈经纶中学嘉铭分校东校区小学部,
欧陆经典万兴苑,朝阳-亚运村-北苑路172号,116.426242,40.001673,88763,↑0.08%,372,195,暂无数据,2.49元/平米/月,暂无数据,暂无数据,1999年,暂无数据,2,30%(一般),北京太合龙脉房地产开发有限责任公司,北京新荣盛世物业管理有限公司,陈经纶中学嘉铭分校东校区小学部,
远洋万和城C区,朝阳-亚运村-北四环东路73号,116.438949,39.997261,111380,↓2.03%,211,24,暂无数据,6.80元/平米/月,暂无数据,暂无数据,2008年,暂无数据,1.8,30%(一般),远洋地产有限公司,中远酒店物业管理有限公司,芳草地国际学校万和城实验小学,
阳明广场,朝阳-亚运村-小营路10号,116.431026,40.00112,50903,↓2.86%,25,61,暂无数据,1.70元/平米/月,29986m²,198户,2001年,2：1,4,35%(一般),北京同源房地产开发有限公司,北京中郎物业管理有限公司,芳草地国际学校世纪小学,
融华世家,朝阳-亚运村-小营北路,116.427983,40.006472,99244,↓0.81%,36,40,暂无数据,3.80元/平米/月,73207m²,310户,2010年,390,2.94,30%(一般),金融街控股股份有限公司,溢海（北京）物业管理有限公司,
汇园公寓,朝阳-亚运村-北辰东路8号,116.408762,39.998896,78376,↑6.53%,54,144,公寓,4.00元/平米/月,暂无数据,暂无数据,1997年,暂无数据,3,30%(一般),北辰房地产开发股份有限公司,北京北辰信和物业管理有限责任公司,
嘉铭桐城C区,朝阳-亚运村-北苑路86号,116.431962,40.010682,85330,↓3.56%,155,94,暂无数据,2.60元/平米/月,暂无数据,暂无数据,2003年,暂无数据,2.4,20%(一般),北京嘉铭房地产开发有限责任公司,北京盛世物业服务有限公司,陈经纶中学嘉铭分校东校区小学部,
紫薇天悦,朝阳-亚运村-小营北路21号,116.433719,40.005658,96395,↓2.70%,81,273,暂无数据,2.80元/平米/月,177991m²,1264户,2008年,630,2.68,37%(一般),北京华汇房地产开发中心,北京华凯金元物业管理有限公司,陈经纶中学嘉铭分校东校区小学部,
九台2000家园,朝阳-亚运村-安立路56号,116.415792,40.012923,73076,↑0.55%,150,149,暂无数据,2.16元/平米/月,120000m²,666户,2001年,地下450元/月,3.4,45%(高),北京九台房地产开发有限责任公司,北京新荣物业管理有限公司,
卧龙小区,朝阳-亚运村-慧忠北路,116.409456,40.0067,80898,↓4.22%,136,87,暂无数据,1.75元/平米/月,30000m²,200户,2015年,1位/户,1.5,34%(一般),北京住宅开发建设集团总公司,北京住总北宇物业管理有限责任公司,
远洋万和城B区,朝阳-亚运村-成慧路,116.438531,39.998491,118982,↓1.52%,272,610,暂无数据,3.98元/平米/月,暂无数据,暂无数据,2009年,暂无数据,2.6,65%(高),远洋地产有限公司,中远酒店物业管理有限公司,芳草地国际学校万和城实验小学,
观典琥珀堡,朝阳-亚运村-慧忠路,116.416847,40.00198,69310,↑1.14%,35,19,暂无数据,2.98元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,北京天时达房地产开发有限公司,深圳开元国际物业管理有限公司,
北卫家园,朝阳-亚运村-北五环东路,116.428359,40.026559,50314,——,0,70,暂无数据,3.00元/平米/月,10871m²,605户,1998年,150元/车位/月,2,30%(一般),暂无数据,北卫物业,
博世祥园,朝阳-亚运村-北辰东路6号,116.408078,40.007493,72943,——,0,20,暂无数据,3.40元/平米/月,暂无数据,500户,2010年,300,2.2,40%(高),中国科学院基建工程,北京信科联物业管理有限公司,
太和小区,朝阳-亚运村-小营路,116.430792,40.003499,76004,↓5.27%,0,2,暂无数据,0.60元/平米/月,暂无数据,暂无数据,2015年,暂无数据,1.37,30%(一般),北京诚信瑞祥物业管理有限公司,北京中兴物业管理有限公司,
现代花园,朝阳-亚运村-北苑路88号,116.426374,40.007051,26921,↓0.05%,0,2,暂无数据,3.50元/平米/月,15897m²,暂无数据,2001年,86,1.32,33%(一般),北京德华房地产开发有限公司,阳光城物业管理公司,
佳馨园,朝阳-亚运村-北苑路118号,116.433014,40.023219,76885,↓6.05%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2004年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
北苑路178号院,朝阳-亚运村-北苑路178号,116.42565,39.99828,54000,↓0.55%,0,0,暂无数据,0.15元/平米/月,暂无数据,暂无数据,2002年,暂无数据,2.25,40%(高),北京城建房地产开发有限公司,北京城建物业管理有限公司,
小营北路主场,朝阳-亚运村-小营北路,116.427728,40.007302,88666,↓0.02%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,40%(高),暂无数据,暂无数据,
育惠里二区,朝阳-亚运村-望京西路,116.432204,39.998313,75313,——,0,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
育慧北里,朝阳-亚运村-小营东路,116.435382,40.00156,73028,——,0,2,暂无数据,1.80元/平米/月,暂无数据,暂无数据,1990年,暂无数据,暂无数据,35%(一般),北京凯迪克房地产有限责任公司,北京华汇管理有限责任公司,芳草地国际学校世纪小学,
育慧北路8号院,朝阳-亚运村-育慧北路8号,116.437122,40.001505,73825,↓1.30%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,1994年,暂无数据,2.4,33%(一般),北京北辰房地产开发股份有限公司,北京大唐物业管理有限公司,
宝石花苑,朝阳-亚运村-北苑路,116.432145,40.008175,97375,↓0.25%,4,21,暂无数据,2.00元/平米/月,150000m²,130户,2000年,180,1.6,35%(一般),嘉铭房地产开发有限公司,北京华体物业管理有限公司,
世纪村二区,朝阳-亚运村-育慧东路,116.438631,40.001205,86155,↑2.69%,20,2,暂无数据,1.19元/平米/月,暂无数据,暂无数据,1996年,暂无数据,2.1,30%(一般),北辰房地产开发股份有限公司,北京北辰信诚管理有限责任公司,芳草地国际学校世纪小学,
市政物业小区,朝阳-亚运村-北苑路,116.425118,39.998239,79592,↓2.86%,2,1,暂无数据,1.10元/平米/月,40000m²,160户,2002年,200,1.3,40%(高),北京城建房地产开发有限公司,北京城建物业管理有限责任公司,
慧忠北里第三社区,朝阳-亚运村-安立路,116.414803,40.008579,73303,↑6.38%,9,9,暂无数据,1.44元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京华汇房地产开发中心,北京华民物业管理有限公司,
阳明国际公寓,朝阳-亚运村-小营路,116.432127,40.001181,44984,↓14.65%,1,13,暂无数据,1.30元/平米/月,15000m²,342户,1999年,40,4,10%(低),北京同源房地产开发有限公司,北京阳明物业管理中心,芳草地国际学校世纪小学,
安慧里三区,朝阳-亚运村-北四环东路,116.416781,39.996683,76304,↑2.93%,28,30,暂无数据,1.30元/平米/月,50000m²,1300户,1996年,150,3,55%(高),北辰房地产开发股份有限公司,北京北辰信诚物业管理有限责任公司,中国音乐学院附属北京实验学校,
亚奥观典,朝阳-亚运村-慧忠路9号,116.417938,40.001817,68361,——,0,3,公寓,2.98元/平米/月,78121m²,288户,2006年,地下,6.65,30%(一般),北京天时达房地产开发有限公司,北京达文物业管理有限公司,
远洋万和城,朝阳-亚运村-北四环东路73号,116.438232,39.998028,116279,——,0,32,公寓,3.98元/平米/月,310000m²,762户,2009年,1：1,2.6,30%(一般),远洋地产有限公司,中远酒店物业管理有限公司,芳草地国际学校万和城实验小学,
安苑东里,朝阳-亚运村-安苑路,116.418319,39.990446,1851,↓96.94%,1,0,暂无数据,0.50元/平米/月,5000m²,850户,2015年,300,1.2,20%(一般),北辰房地产开发股份有限公司,暂无数据,
安慧东里1号院,朝阳-亚运村-小营西路,116.429144,39.999057,40874,↓0.05%,0,1,暂无数据,2.20元/平米/月,60000m²,1500户,1995年,1000,2.1,30%(一般),北京能源房地产开发有限责任公司,北京中兴物业管理有限公司,中国音乐学院附属北京实验学校,
龙都国际公寓,朝阳-亚运村-大屯路,116.420039,40.008499,62881,↓0.11%,9,7,暂无数据,2.38元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.95,30%(一般),北京中建森岚房地产开发有限公司,北京合佳物业管理有限责任公司,
三空间,朝阳-亚运村-北四环东路115号,116.427678,39.996395,89598,↑4.20%,19,25,公寓,3.46元/平米/月,暂无数据,暂无数据,2005年,暂无数据,4.56,35%(一般),北京君龙房地产开发有限公司,北京达文中澳物业管理有限公司,
碧海方舟(别墅),朝阳-亚运村-鼎成路6号,116.445227,40.001973,123771,↑22.39%,55,11,暂无数据,暂无数据,暂无数据,暂无数据,2003年,暂无数据,0.6,43%(高),北京姜庄湖园林别墅开发有限公司,10,
名人公寓,朝阳-亚运村-慧忠路,116.411677,40.001644,47615,↓0.27%,6,10,暂无数据,4.25元/平米/月,24000m²,128户,2002年,150元/月,2.5,35%(一般),北京其汇房产建设有限公司,第一太平戴维斯,
观巢,朝阳-亚运村-安立路,116.413615134,40.0056462813,58343,↓18.79%,1,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
嘉铭桐城F区,朝阳-亚运村-北苑路,116.430532,40.009803,94127,↑0.48%,39,115,暂无数据,2.30元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.3,30%(一般),北京嘉铭房地产开发有限责任公司,北京盛世物业服务有限公司,陈经纶中学嘉铭分校东校区小学部,
慧忠北里第四社区,朝阳-亚运村-北辰东路,116.407303,40.010734,63495,↓10.11%,16,6,暂无数据,1.05元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京华汇房地产开发中心,北京华民物业管理有限公司,
北湖渠村578号院,朝阳-亚运村-北湖渠578号,116.453703,40.01513,66273,↓1.89%,11,12,暂无数据,2.50元/平米/月,5400m²,1000户,2000年,地上停车,1.8,10%(低),北京城建房地产开发有限公司,暂无数据,陈经纶中学分校小学部,
光大名筑,朝阳-亚运村-北苑路178号,116.426027,39.999338,96031,↓4.05%,88,99,暂无数据,1.12元/平米/月,126000m²,814户,2004年,500,2.1,46%(高),北京光大房地产开发有限公司,中海宏洋物业管理有限公司北京分公司。,
远洋万和城A区,朝阳-亚运村-成慧路,116.441105,39.998428,124944,↓0.02%,225,364,暂无数据,3.98元/平米/月,暂无数据,暂无数据,2009年,暂无数据,2.6,65%(高),远洋地产有限公司,中远酒店物业管理有限公司,芳草地国际学校万和城实验小学,
浩运园,朝阳-亚运村-大屯路220号,116.427648,40.007286,95169,↓2.90%,55,106,公寓,2.26元/平米/月,暂无数据,暂无数据,2007年,300,3.9,31%(一般),北京浩运房地产开发有限公司,北京首欣物业管理有限公司,陈经纶中学嘉铭分校东校区小学部,
阳光飘亮广场,朝阳-亚运村-安立路68号,116.414859,40.004702,61139,↑0.49%,72,30,暂无数据,4.90元/平米/月,暂无数据,暂无数据,2006年,暂无数据,暂无数据,30%(一般),北京金马长城房产建设有限责任公司,北京阳光城物业管理有限公司,
嘉铭桐城B区,朝阳-亚运村-北苑路,116.435601,40.006393,89398,↓0.22%,58,72,暂无数据,2.10元/平米/月,暂无数据,暂无数据,2002年,暂无数据,暂无数据,暂无数据,北京嘉铭房地产开发有限公司,北京盛世物业服务有限公司,陈经纶中学嘉铭分校东校区小学部,
亚运新新家园(别墅),朝阳-亚运村-辛店路1号,116.440808,40.014682,117408,↑12.14%,559,98,暂无数据,暂无数据,暂无数据,暂无数据,2014年,暂无数据,暂无数据,67%(高),北京京伯房地产开发有限公司,2.5,
金泉家园,朝阳-亚运村-大屯路,116.419014,40.010924,89774,↓0.68%,580,353,暂无数据,2.88元/平米/月,暂无数据,暂无数据,2008年,暂无数据,3.5,30%(一般),北京高德房地产有限责任公司,深圳长城物业管理有限公司,
紫玉山庄,朝阳-亚运村-紫玉东路1号,116.42018,40.017987,131810,↓6.24%,883,118,暂无数据,12.50元/平米/月,1460000m²,330户,2003年,1
安慧北里逸园,朝阳-亚运村-大屯路,116.421086,40.007433,67983,↓1.34%,364,491,暂无数据,2.30元/平米/月,17000m²,600户,1993年,400,2.5,25%(一般),北京安苑住房股份有限公司,北京燕厦物业管理有限公司,陈经纶中学嘉铭分校西校区小学部,
安慧里五区,朝阳-亚运村-惠新西街,116.422748,39.997077,57410,↓9.48%,0,40,暂无数据,1.20元/平米/月,15000m²,1000户,1990年,300,3,30%(一般),北辰房地产开发股份有限公司,北京北辰信诚物业管理有限责任,中国音乐学院附属北京实验学校,
世纪宝鼎公寓,朝阳-亚运村-鼎城路,116.443484,39.998648,65643,↑5.89%,15,63,暂无数据,3.20元/平米/月,160000m²,600户,1998年,1000,4.3,30%(一般),北京九鼎房地产开发有限责任公司,深圳市开元国际物业有限北京分公司,芳草地国际学校万和城实验小学,
安立花园小区,朝阳-亚运村-慧忠北里109号,116.415395,40.009706,74477,↓2.71%,10,24,暂无数据,2.86元/平米/月,45000m²,288户,1999年,500,2.6,25%(一般),北京华汇房地产开发中心,北京鸿铭物业管理有限公司,
育慧里一区,朝阳-亚运村-育慧北路,116.43675,39.996466,79470,↓2.11%,118,74,暂无数据,1.80元/平米/月,150000m²,1500户,1994年,1200,1.37,30%(一般),华汇房地产开发有限公司,北京首华物业管理有限公司,芳草地国际学校世纪小学,
慧苑华侨公寓,朝阳-亚运村-安立路,116.41467,39.997864,72289,↑7.69%,7,32,暂无数据,2.96元/平米/月,1000m²,188户,2015年,1
育慧里二区,朝阳-亚运村-小营东路,116.434098,39.998523,78843,↓0.76%,46,69,暂无数据,1.80元/平米/月,300000m²,1300户,1998年,600,2,30%(一般),华汇房地产开发有限公司,北京首华物业管理有限公司,芳草地国际学校世纪小学,
小营西路1号院,朝阳-亚运村-小营西路,116.428772,40.000071,70250,↑1.37%,0,0,公寓,0.50元/平米/月,暂无数据,暂无数据,1998年,没有固定车位
世纪村(三区),朝阳-亚运村-小营东路,116.436046,40.001007,75479,↑0.87%,53,26,暂无数据,1.19元/平米/月,280000m²,900户,1997年,非充足,2.2,10%(低),北辰房地产开发股份有限公司,北京华汇物业管理有限公司,芳草地国际学校世纪小学,
安慧东里,朝阳-亚运村-小营东路,116.429188,39.997237,78385,↓1.85%,68,44,暂无数据,1.50元/平米/月,200000m²,800户,1994年,600,2.2,30%(一般),北京能源房地产开发有限责任公司,北京中兴物业管理有限公司,中国音乐学院附属北京实验学校,
